Date,Name / Description,Amount (EUR),Transaction vs category,Transaction,Category
2024-01-02,Income from Salary,1150.0,3. Income from Salary - Income,Income from Salary,Income
2024-01-02,Dinner at Hindukus Restaurant,-40.8,2. Dinner at Hindukus Restaurant - Food & Beverages,Dinner at Hindukus Restaurant,Food and Drinks
2024-01-02,Grocery shopping at Desi Grocery,-20.0,1. Grocery shopping at Desi Grocery - Grocery,Grocery shopping at Desi Grocery,Grocery
2024-01-02,Grocery shopping at Lidl,-8.28,Grocery shopping at Lidl - Grocery,Grocery shopping at Lidl,Grocery
2024-01-02,Grocery shopping at Supermarket Istanbul,-25.34,,,
2024-01-04,Cash Withdrawal,-550.0,4. Cash Withdrawal - Financial Transaction,Cash Withdrawal,Financial Transaction
2024-01-05,Grocery shopping at Lidl,-26.37,Grocery shopping at Lidl - Grocery,Grocery shopping at Lidl,Grocery
2024-01-05,Personal Care Products Purchase,-24.5,5. Personal Care Products Purchase - Household Items,Personal Care Products Purchase,Household Items
2024-01-08,Utility Bill Payment,-54.0,6. Utility Bill Payment - Bills and Subscriptions,Utility Bill Payment,Bills and Subscriptions
2024-01-08,Miscellaneous Expense,-4.1,7. Miscellaneous Expense - Other expenses,Miscellaneous Expense,Other expenses
2024-01-08,Miscellaneous Expense,-11.5,7. Miscellaneous Expense - Other expenses,Miscellaneous Expense,Other expenses
2024-01-08,Grocery shopping at Lidl,-7.02,Grocery shopping at Lidl - Grocery,Grocery shopping at Lidl,Grocery
2024-01-08,Grocery shopping at Desi Grocery,-4.8,1. Grocery shopping at Desi Grocery - Grocery,Grocery shopping at Desi Grocery,Grocery
2024-01-02,Grocery shopping at Supermarket Istanbul,-17.24,,,
2024-01-02,Income from Salary,1150.0,3. Income from Salary - Income,Income from Salary,Income
2024-01-02,Utility Bill Payment,-37.47,6. Utility Bill Payment - Bills and Subscriptions,Utility Bill Payment,Bills and Subscriptions
2024-01-02,Cash Withdrawal,-50.0,4. Cash Withdrawal - Financial Transaction,Cash Withdrawal,Financial Transaction
2024-01-02,DB payment,-49.0,8. DB payment - Bank Fees,DB payment,Bank Fees
2024-01-02,Miscellaneous Expense,-3.8,7. Miscellaneous Expense - Other expenses,Miscellaneous Expense,Other expenses
2024-01-02,Cash Withdrawal,-150.0,4. Cash Withdrawal - Financial Transaction,Cash Withdrawal,Financial Transaction
2024-01-02,Miscellaneous Expense,-4.0,7. Miscellaneous Expense - Other expenses,Miscellaneous Expense,Other expenses
2024-01-02,Personal Care Products Purchase,-16.78,5. Personal Care Products Purchase - Household Items,Personal Care Products Purchase,Household Items
2024-01-02,Personal Care Products Purchase,-8.4,5. Personal Care Products Purchase - Household Items,Personal Care Products Purchase,Household Items
2024-01-02,Grocery shopping at Lidl,57.56,Grocery shopping at Lidl - Grocery,Grocery shopping at Lidl,Grocery
2024-01-31,Income from Salary,1150.0,3. Income from Salary - Income,Income from Salary,Income
2024-02-01,Fee for Service,-11.51,9. Fee for Service - Services,Fee for Service,Services
2024-02-01,Gym Membership Fee,-24.9,10. Gym Membership Fee - Health & Wellness,Gym Membership Fee,Health and Wellness
2024-02-01,Insurance Premium Payment,-107.4,11. Insurance Premium Payment - Insurance,Insurance Premium Payment,Insurance
2024-02-02,DB payment,-49.0,8. DB payment - Bank Fees,DB payment,Bank Fees
2024-02-02,Utility Bill Payment,-39.65,6. Utility Bill Payment - Bills and Subscriptions,Utility Bill Payment,Bills and Subscriptions
2024-02-02,Grocery shopping at Paryan Lebensmittel,-13.5,12. Grocery shopping at Paryan Lebensmittel - Grocery,Grocery shopping at Paryan Lebensmittel,Grocery
2024-02-05,Grocery shopping at Orient Asia Supermarket,-8.0,,,
2024-02-05,Cash Withdrawal,-50.0,4. Cash Withdrawal - Financial Transaction,Cash Withdrawal,Financial Transaction
2024-02-05,Cash Withdrawal,-650.0,4. Cash Withdrawal - Financial Transaction,Cash Withdrawal,Financial Transaction
2024-02-05,Dinner at Palmen Grill,-17.99,13. Dinner at Palmen Grill - Food & Beverages,Dinner at Palmen Grill,Food and Drinks
2024-02-05,Uncategorised Transaction,-5.4,14. Uncategorised Transaction - Other expenses,Uncategorised Transaction,Other expenses
2024-02-06,Personal Care Products Purchase,-7.72,5. Personal Care Products Purchase - Household Items,Personal Care Products Purchase,Household Items
